        sku,store_view_code,attribute_set,type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_skus,bundle_options,configurable_variations,configurable_variation_labels,associated_skus
A1-20T-vin,,Default,bundle,Default Category,base,A1-20Tname,,,,1,Taxable Goods,"Catalog, Search",99999,30,a1-20tname,,,,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,,,,0,0,1,0,1,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,dynamic,dynamic,Price range,dynamic,component0:A1-20T-1:1:0:0:1:0:0;component1:A1-20T-2:1:0:1:1:0:0;component2:A1-20T-3:1:0:2:1:0:0;component3:A1-20T-4:1:0:3:1:0:0;component4:A1-20T-5:1:0:4:1:0:0;,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1;component2:cname:checkbox:1:2;component3:cname:checkbox:1:3;component4:cname:checkbox:1:4,,,
E001-vin,,Enzymes,bundle,Default Category,base,E001name,,,,1,Taxable Goods,"Catalog, Search",99999,30,e001name,,,,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,,,,0,0,1,0,1,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,dynamic,dynamic,Price range,dynamic,component0:E001-1:1:0:0:1:0:0;component1:E001-2:1:0:1:1:0:0;component2:E001-3:1:0:2:1:0:0;component3:E001-4:1:0:3:1:0:0;,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1;component2:cname:checkbox:1:2;component3:cname:checkbox:1:3,,,
E002-vin,,Enzymes,bundle,Default Category,base,E002name,,,,1,Taxable Goods,"Catalog, Search",99999,30,e002name,,,,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,,,,0,0,1,0,1,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,dynamic,dynamic,Price range,dynamic,component0:E002-1:1:0:0:1:0:0;component1:E002-2:1:0:1:1:0:0;component2:E002-3:1:0:2:1:0:0;component3:E002-4:1:0:3:1:0:0;,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1;component2:cname:checkbox:1:2;component3:cname:checkbox:1:3,,,
E005-vin,,Enzymes,bundle,Default Category,base,E005name,,,,1,Taxable Goods,"Catalog, Search",99999,30,e005name,,,,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,,,,0,0,1,0,1,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,dynamic,dynamic,Price range,dynamic,component0:E005-1:1:0:0:1:0:0;component1:E005-2:1:0:1:1:0:0;,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,,,
E006-vin,,Enzymes,bundle,Default Category,base,E006name,,,,1,Taxable Goods,"Catalog, Search",99999,30,e006name,,,,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,,,,0,0,1,0,1,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,dynamic,dynamic,Price range,dynamic,component0:E006-1:1:0:0:1:0:0;component1:E006-2:1:0:1:1:0:0;,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,,,
E007-vin,,Enzymes,bundle,Default Category,base,E007name,,,,1,Taxable Goods,"Catalog, Search",99999,30,e007name,,,,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,,,,0,0,1,0,1,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,dynamic,dynamic,Price range,dynamic,component0:E007-2:1:0:0:1:0:0;component1:E007-1:1:0:1:1:0:0;,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,,,
E008-vin,,Enzymes,bundle,Default Category,base,E008name,,,,1,Taxable Goods,"Catalog, Search",99999,30,e008name,,,,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,,,,0,0,1,0,1,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,dynamic,dynamic,Price range,dynamic,component0:E008-1:1:0:0:1:0:0;component1:E008-2:1:0:1:1:0:0;,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,,,
E009-vin,,Enzymes,bundle,Default Category,base,E009name,,,,1,Taxable Goods,"Catalog, Search",99999,30,e009name,,,,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,,,,0,0,1,0,1,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,dynamic,dynamic,Price range,dynamic,component0:E009-1:1:0:0:1:0:0;component1:E009-2:1:0:1:1:0:0;,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,,,
E010-vin,,Enzymes,bundle,Default Category,base,E010name,,,,1,Taxable Goods,"Catalog, Search",99999,30,e010name,,,,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,,,,0,0,1,0,1,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,dynamic,dynamic,Price range,dynamic,component0:E010-1:1:0:0:1:0:0;component1:E010-2:1:0:1:1:0:0;component2:E010-3:1:0:2:1:0:0;component3:E010-4:1:0:3:1:0:0;,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1;component2:cname:checkbox:1:2;component3:cname:checkbox:1:3,,,
E011-vin,,Enzymes,bundle,Default Category,base,E011name,,,,1,Taxable Goods,"Catalog, Search",99999,30,e011name,,,,,,,,,,,,,,Block after Info Column,,,,Use config,,,,,,,,,,0,0,1,0,1,1,1,1,10000,1,1,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,dynamic,dynamic,Price range,dynamic,component0:E011-1:1:0:0:1:0:0;component1:E011-2:1:0:1:1:0:0;,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,,,
