sku,attribute_set,type,bundle_options,bundle_skus,categories,name,price
A1-20T-vin,Default,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1;component2:cname:checkbox:1:2;component3:cname:checkbox:1:3;component4:cname:checkbox:1:4,component0:A1-20T-1:1:0:0:1:0:0;component1:A1-20T-2:1:0:1:1:0:0;component2:A1-20T-3:1:0:2:1:0:0;component3:A1-20T-4:1:0:3:1:0:0;component4:A1-20T-5:1:0:4:1:0:0,Default Category,A1-20Tname,99999
E001-vin,Enzymes,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1;component2:cname:checkbox:1:2;component3:cname:checkbox:1:3,component0:E001-1:1:0:0:1:0:0;component1:E001-2:1:0:1:1:0:0;component2:E001-3:1:0:2:1:0:0;component3:E001-4:1:0:3:1:0:0,Default Category,E001name,99999
E002-vin,Enzymes,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1;component2:cname:checkbox:1:2;component3:cname:checkbox:1:3,component0:E002-1:1:0:0:1:0:0;component1:E002-2:1:0:1:1:0:0;component2:E002-3:1:0:2:1:0:0;component3:E002-4:1:0:3:1:0:0,Default Category,E002name,99999
E005-vin,Enzymes,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,component0:E005-1:1:0:0:1:0:0;component1:E005-2:1:0:1:1:0:0,Default Category,E005name,99999
E006-vin,Enzymes,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,component0:E006-1:1:0:0:1:0:0;component1:E006-2:1:0:1:1:0:0,Default Category,E006name,99999
E007-vin,Enzymes,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,component0:E007-2:1:0:0:1:0:0;component1:E007-1:1:0:1:1:0:0,Default Category,E007name,99999
E008-vin,Enzymes,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,component0:E008-1:1:0:0:1:0:0;component1:E008-2:1:0:1:1:0:0,Default Category,E008name,99999
E009-vin,Enzymes,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,component0:E009-1:1:0:0:1:0:0;component1:E009-2:1:0:1:1:0:0,Default Category,E009name,99999
E010-vin,Enzymes,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1;component2:cname:checkbox:1:2;component3:cname:checkbox:1:3,component0:E010-1:1:0:0:1:0:0;component1:E010-2:1:0:1:1:0:0;component2:E010-3:1:0:2:1:0:0;component3:E010-4:1:0:3:1:0:0,Default Category,E010name,99999
E011-vin,Enzymes,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,component0:E011-1:1:0:0:1:0:0;component1:E011-2:1:0:1:1:0:0,Default Category,E011name,99999
E012-vin,Enzymes,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1;component2:cname:checkbox:1:2,component0:E012-1:1:0:0:1:0:0;component1:E010-2:1:0:1:1:0:0;component2:E010-4:1:0:2:1:0:0,Default Category,E012name,99999
E013-vin,Enzymes,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,component0:E013-1:1:0:0:1:0:0;component1:E013-2:1:0:1:1:0:0,Default Category,E013name,99999
E014-vin,Enzymes,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,component0:E014-1:1:0:0:1:0:0;component1:E014-2:1:0:1:1:0:0,Default Category,E014name,99999
E015-vin,Enzymes,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,component0:E015-1:1:0:0:1:0:0;component1:E015-2:1:0:1:1:0:0,Default Category,E015name,99999
E016-vin,Enzymes,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,component0:E016-1:1:0:0:1:0:0;component1:E016-2:1:0:1:1:0:0,Default Category,E016name,99999
E017-vin,Enzymes,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1;component2:cname:checkbox:1:2;component3:cname:checkbox:1:3,component0:E017-1:1:0:0:1:0:0;component1:E017-2:1:0:1:1:0:0;component2:E017-3:1:0:2:1:0:0;component3:E017-4:1:0:3:1:0:0,Default Category,E017name,99999
E018-vin,Enzymes,bundle,-*;component0:cname:checkbox:1:0;component1:cname:checkbox:1:1,component0:E018-1:1:0:0:1:0:0;component1:E018-2:1:0:1:1:0:0,Default Category,E018name,99999
