{'NM_000014': ['version 5', 4425]}
{'NM_000018': ['version 4', 1968]}
{'NM_000025': ['version 3', 1227]}
{'NM_000028': ['version 2', 4599]}
{'NM_000030': ['version 3', 1179]}
{'NM_000033': ['version 4', 2238]}
{'NM_000036': ['version 2', 2343]}
{'NM_000038': ['version 6', 8532]}
{'NM_000052': ['version 7', 4503]}
{'NM_000059': ['version 3', 10257]}
{'NM_000061': ['version 2', 1980]}
{'NM_000064': ['version 3', 4992]}
{'NM_000068': ['version 3', 6801]}
{'NM_000080': ['version 4', 1482]}
{'NM_000087': ['version 3', 2073]}
{'NM_000091': ['version 4', 5013]}
{'NM_000092': ['version 4', 5073]}
{'NM_000094': ['version 3', 8835]}
{'NM_000096': ['version 4', 3198]}
{'NM_000097': ['version 7', 1365]}
{'NM_000098': ['version 3', 1977]}
{'NM_000099': ['version 4', 441]}
{'NM_000100': ['version 3', 297]}
{'NM_000106': ['version 6', 1494]}
{'NM_000130': ['version 4', 6675]}
{'NM_000138': ['version 4', 8616]}
{'NM_000152': ['version 5', 2859]}
{'NM_000160': ['version 5', 1434]}
{'NM_000170': ['version 2', 3063]}
{'NM_000172': ['version 3', 1053]}
{'NM_000177': ['version 4', 2349]}
{'NM_000193': ['version 4', 1389]}
{'NM_000196': ['version 4', 1218]}
{'NM_000203': ['version 5', 1962]}
{'NM_000216': ['version 4', 2043]}
{'NM_000217': ['version 3', 1488]}
{'NM_000220': ['version 4', 1176]}
{'NM_000222': ['version 2', 2931]}
{'NM_000223': ['version 4', 1485]}
{'NM_000226': ['version 4', 1872]}
{'NM_000227': ['version 4', 5175]}
{'NM_000231': ['version 2', 876]}
{'NM_000233.3': ['version 3', 2100]}
{'NM_000243': ['version 2', 2346]}
{'NM_000246': ['version 3', 3393]}
{'NM_000254': ['version 2', 3798]}
{'NM_000259': ['version 3', 5568]}
{'NM_000260': ['version 4', 6648]}
{'NM_000263': ['version 4', 2232]}
{'NM_000267': ['version 3', 8457]}
{'NM_000273': ['version 3', 1215]}
{'NM_000276': ['version 4', 2706]}
{'NM_000278': ['version 4', 1185]}
{'NM_000286': ['version 3', 1080]}
